banana,chicken,shampoo,shoe
beef,chicken,shampoo,speaker
bread,clothes,shampoo,speaker
apple,clothes,tissue,speaker
broccoli,clothes,tissue,television
egg,tissue,television
egg,bleach,candle,television
egg,bleach,candle,thermostat
grape,bleach,candle,television
grape,bleach,conditioner,television
grape,conditioner,detergent,camera,cell phone
grape,conditioner,detergent,charger,handbag
milk,conditioner,detergent,charger,handbag
milk,moisture,shampoo,charger,handbag
milk,moisture,shampoo,headphone,light bulb
orange,moisture,shampoo,headphone,light bulb
orange,bleach,tissue,headphone,light bulb
orange,bleach,tissue,screen protector,shoe
oil,bleach,tissue,screen protector,shoe
oil,bleach,candle,conditioner,screen protector,shoe